sno,sna,sarea,total,ar,latitude,longitude,snaen,sareaen,aren
500101031,YouBike2.0_臺大男七舍前,大安區,20,長興街/長興街80巷口西側,25.01537,121.54698,YouBike2.0_NTU 7th Men's Dorm,Daan Dist.,Ln. 80， Changxing St. Intersection(West)
500101032,YouBike2.0_臺大男一舍前,大安區,61,長興街50號西北側,25.01637,121.54535,YouBike2.0_NTU 1st Men's Dorm,Daan Dist.,No. 50， Changxing St.(Northwest)
500101033,YouBike2.0_臺大男六舍前,大安區,40,大安區長興街31號,25.01664,121.5452,YouBike2.0_NTU 6th Men's Dorm,Daan Dist.,No. 31， Changxing St.
500101034,YouBike2.0_臺大動物醫院前,大安區,18,基隆路三段155巷/基隆路四段口,25.01576,121.54291,YouBike2.0_NTU Veterinary Hospital,Daan Dist.,Ln. 155， Sec. 3， Keelung Rd. Intersection
500101035,YouBike2.0_臺大土木研究大樓前,大安區,24,辛亥路三段188號,25.01787,121.5476,YouBike2.0_NTU Civil Engineering Research Building,Daan Dist.,No. 188， Sec. 3， Xinhai Rd.
500101036,YouBike2.0_臺大萬才館前,大安區,20,臺大萬才館北側,25.02032,121.54497,YouBike2.0_NTU Wan Tsai Research Hall,Daan Dist.,NTU Wan Tsai Research Hall
500101037,YouBike2.0_臺大國青大樓宿舍前,大安區,20,辛亥路三段30號西北側,25.02076,121.54432,YouBike2.0_NTU Guo - Ching Building,Daan Dist.,No. 30， Sec. 3， Xinhai Rd.(Northwest)
500101038,YouBike2.0_臺大社科院圖書館前,大安區,27,辛亥路與復興南路口西南側,25.02101,121.54284,YouBike2.0_NTU College of social Sciences Building,Daan Dist.,Xinhai Fuxing Rd. Intersection (Southwest)
500101039,YouBike2.0_臺大法人語言訓練中心前,大安區,28,臺大法人語言訓練中心北側,25.02104,121.54081,YouBike2.0_NTU Language Training & Testing Center,Daan Dist.,NTU Language Training & Testing Center(North)
500101040,YouBike2.0_臺大綜合體育館停車場前,大安區,25,臺大綜合體育館北側,25.0222,121.53626,YouBike2.0_NTU Sports Center Car Park,Daan Dist.,NTU Sports Center(North)
500101041,YouBike2.0_辛亥新生路口東南側,大安區,50,辛亥新生路口東南側,25.02218,121.53474,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Daan Dist.,Xinhai Xinsheng Rd. Intersection (Southeast)
500101042,YouBike2.0_基隆長興路口東側,大安區,15,基隆長興路口東側,25.01727,121.54471,YouBike2.0_Keelung Changxing Rd. Intersection(East),Daan Dist.,Keelung Changxing Rd. Intersection(East)
500101091,YouBike2.0_國北教大側門南側,大安區,34,敦南街51號,25.022864,121.546622,YouBike2.0_NTUE Side Gate(South),Daan Dist.,No. 51， Dunnan St.
500101092,YouBike2.0_和平實小東北側,大安區,25,敦南街73號,25.021641,121.54704,YouBike2.0_Heping Experiment Elementary School (Northeast),Daan Dist.,No. 73， Dunnan St.
500101093,YouBike2.0_大安區健康服務中心,大安區,23,辛亥路三段15號,25.021469,121.544069,YouBike2.0_Daan District Public Health Center,Daan Dist.,No. 15， Sec. 1， Xinhai Rd.
500101094,YouBike2.0_辛亥泰順街口,大安區,20,辛亥泰順街口東南側,25.02193,121.53165,YouBike2.0_Xinhai Taishun St. Intersection,Daan Dist.,Xinhai Taishun St. Intersection (Southeast)
500101095,YouBike2.0_芳和國中,大安區,37,臥龍街170號(前),25.0189,121.55013,YouBike2.0_Fanghe Junior High School,Daan Dist.,No. 170， Wolong St.
500101097,YouBike2.0_臥龍樂業街口,大安區,41,臥龍街234-2號,25.01856,121.55558,YouBike2.0_Wolong Leye St. Intersection,Daan Dist.,No. 234-2， Wolong St.
500101098,YouBike2.0_臥龍公園,大安區,25,辛亥路三段223號西側,25.01623,121.55037,YouBike2.0_Wolong Park,Daan Dist.,No. 223， Sec. 3， Xinhai Rd. (West)
500101099,YouBike2.0_嘉興公園,大安區,44,樂業街101巷3號西北側,25.021,121.55211,YouBike2.0_Jiaxing Park,Daan Dist.,No. 3， Ln. 101， Leye St. (Northwest)
500101100,YouBike2.0_捷運麟光站(2號出口),大安區,50,和平東路三段420號東北側,25.0181,121.55929,YouBike2.0_MRT Linguang Sta. (Exit 2),Daan Dist.,No. 420， Sec. 3， Heping E. Rd. (Northeast)
500101101,YouBike2.0_捷運六張犁站,大安區,64,和平東路三段410號,25.02397,121.55266,YouBike2.0_MRT Liuzhangli Sta.,Daan Dist.,No. 410， Sec. 3， Heping E. Rd.
500101102,YouBike2.0_喬治工商,大安區,24,基隆路二段166號,25.02705,121.55551,YouBike2.0_George Vocational High School of Taipei,Daan Dist.,No. 166， Sec. 2， Keelung Rd.
500101103,YouBike2.0_法治公園,大安區,29,通化街189號西側,25.02694,121.55325,YouBike2.0_Fazhi Park,Daan Dist.,No. 189， Tonghua St. (West)
500101104,YouBike2.0_捷運臺電大樓站(2號出口),大安區,18,辛亥路一段/羅斯福路三段口北側(辛亥路側),25.02021,121.52942,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Daan Dist.,Sec. 1， Xinhai Rd & Sec. 3， Roosevelt Rd (North)
500101105,YouBike2.0_和平金山路口,大安區,45,和平東路一段/金山南路二段西南側,25.02669,121.52529,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Daan Dist.,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest)
500101107,YouBike2.0_和平龍泉街口,大安區,34,和平東路一段/龍泉街口西南側,25.02638,121.52971,YouBike2.0_Sec. 1， Heping E. Rd & Longquan St. Intersection,Daan Dist.,Sec. 1， Heping E. Rd & Longquan St. Intersection (Southwest)
500101108,YouBike2.0_和平泰順街口,大安區,19,和平東路一段/泰順街口東南側,25.02621,121.53171,YouBike2.0_Sec. 1， Heping E. Rd & Taishun St  Intersection,Daan Dist.,Sec. 1， Heping E. Rd & Taishun St  Intersection (Southeast)
500101109,YouBike2.0_臺灣師範大學(圖書館),大安區,40,和平東路一段129號前,25.0266,121.52973,YouBike2.0_National Taiwan Normal University (library),Daan Dist.,No. 129， Sec. 1， Heping E. Rd.
500101110,YouBike2.0_捷運古亭站(6號出口),大安區,60,羅斯福路二段41號前,25.0276,121.52217,YouBike2.0_MRT Guting Sta. (Exit 6),Daan Dist.,No. 41， Sec. 2， Roosevelt Rd
500101111,YouBike2.0_捷運古亭站(5號出口),大安區,14,和平東路一段19號前,25.02715,121.52293,YouBike2.0_MRT Guting Sta. (Exit 5),Daan Dist.,No. 19， Sec. 1， Heping E. Rd
500101113,YouBike2.0_臺北市立圖書館(總館),大安區,51,建國南路二段/建國南路二段151巷(橋下空間),25.02895,121.5379,YouBike2.0_Taipei Public library,Daan Dist.,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge)
500101114,YouBike2.0_新生和平路口東北側,大安區,51,新生南路二段與和平東路二段口東北側,25.02657,121.53515,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Daan Dist.,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast)
500101115,YouBike2.0_建國和平路口西北側,大安區,50,建國南路二段與和平東路二段口西北側,25.02606,121.53738,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Daan Dist.,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest)
500101116,YouBike2.0_金華公園,大安區,44,金華街249號對面,25.02984,121.53107,YouBike2.0_Jinhua Park,Daan Dist.,No. 249， Jinhua St. (Opposite)
500101117,YouBike2.0_捷運東門站(3號出口),大安區,18,信義路二段128號前,25.03383,121.52815,YouBike2.0_MRT Dongmen Sta. (Exit 3),Daan Dist.,No. 128， Sec. 2， Xinyi Rd.
500101118,YouBike2.0_金甌女中,大安區,12,信義路二段與杭州南路二段東南側,25.03519,121.5245,YouBike2.0_Jin'ou Girls High School,Daan Dist.,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast)
500101119,YouBike2.0_金杭公園,大安區,20,愛國東路21巷與杭州南路二段25巷口東南側,25.03325,121.52436,YouBike2.0_Jinhang Park,Daan Dist.,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast)
500101120,YouBike2.0_愛國金山路口,大安區,43,愛國東路與杭州南路二段口西南側,25.03164,121.52661,YouBike2.0_Aiguo & Jinshan Rd. Intersection,Daan Dist.,Aiguo E. Rd. & Sec. 2， Hangzhou S. Rd. Intersection (Southwest)
500101122,YouBike2.0_敦化南路二段293巷口南側,大安區,14,敦化南路二段293巷口南側,25.0237,121.54899,YouBike2.0_Ln. 293， Sec. 2， Dunhua S. Rd (South),Daan Dist.,Ln. 293， Sec. 2， Dunhua S. Rd. (South)
500101123,YouBike2.0_敦化基隆路口,大安區,38,敦化南路二段218號,25.02215,121.54839,YouBike2.0_Sec. 2， Dunhua S. Rd & Sec. 2， Keelung Rd Intersection,Daan Dist.,No. 218， Sec. 2， Dunhua S. Rd
500101124,YouBike2.0_安和路二段181巷口,大安區,29,安和路二段185號,25.02721,121.54988,YouBike2.0_Ln. 181， Sec. 2， Anhe Rd,Daan Dist.,No185， Sec. 2， Anhe Rd
500101125,YouBike2.0_臨江街夜市(通化街101巷口),大安區,30,通化街111號,25.02952,121.55406,YouBike2.0_Linjiang St night market (Ln. 101， Tonghua St),Daan Dist.,No. 101， Tonghua St.
500101126,YouBike2.0_臨江街夜市(基隆路),大安區,29,基隆路二段108號,25.02931,121.55721,YouBike2.0_Linjiang St night market (Keelung Rd),Daan Dist.,No. 108， Sec. 2， Keelung Rd.
500101127,YouBike2.0_台北科技大學億光大樓,大安區,45,忠孝東路三段81號,25.04177,121.53833,YouBike2.0_National Taipei University of Technology (Everlight Building),Daan Dist.,No. 81， Sec. 3， Zhongxiao E. Rd.
500101128,YouBike2.0_新生南路一段119巷口,大安區,33,新生南路一段113號,25.04003,121.53299,YouBike2.0_Ln. 119， Sec. 1， Xinsheng S. Rd Intersection,Daan Dist.,No. 113， Ln. 119， Sec. 1， Xinsheng S. Rd.
500101129,YouBike2.0_幸安國小(仁愛路),大安區,28,仁愛路三段22號,25.03753,121.53523,YouBike2.0_Xing'an Elementary School (Ren'ai Rd),Daan Dist.,No. 22， Sec. 3， Ren'ai Rd.
500101130,YouBike2.0_民榮公園,大安區,15,建國南路一段304巷45號南側,25.03534,121.5354,YouBike2.0_Minrong Park,Daan Dist.,No. 45， Ln. 304， Sec. 1， Jianguo S. Rd. (South)
500101131,YouBike2.0_復興南路1段340巷口,大安區,50,復興南路一段信義路三段147巷45弄口,25.03701,121.54348,YouBike2.0_Ln. 340， Sec. 1， Fuxing S. Rd Intersection,Daan Dist.,Sec. 1， Fuxing S. Rd & Aly. 45， Ln. 147， Sec. 3， Xinyi Rd Intersection.
500101132,YouBike2.0_建國濟南路口,大安區,54,建國南路一段/濟南路三段口(東南側),25.03935,121.53828,YouBike2.0_Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection,Daan Dist.,Sec. 1， Jianguo S. Rd & Sec. 3， Jinan Rd Intersection. (Southeast)
500101133,YouBike2.0_捷運忠孝復興站(2號出口),大安區,43,復興南路一段/仁愛路三段123巷13弄(西北側),25.04035,121.5436,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2),Daan Dist.,Sec. 1， Fuxing S. R & Aly. 13， Ln. 123， Sec. 3， Ren'ai Rd. (Northwest)
500101134,YouBike2.0_捷運大安站(4號出口),大安區,13,信義路4段6號(前),25.0332,121.5439,YouBike2.0_MRT Da’an Sta (Exit 4),Daan Dist.,No. 6， Sec. 4， Xinyi Rd.
500101135,YouBike2.0_捷運大安站(2號出口),大安區,26,信義路3段143號(前),25.03358,121.54141,YouBike2.0_MRT Da’an Sta (Exit 2),Daan Dist.,No. 143， Sec. 3， Xinyi Rd.
500101136,YouBike2.0_信義大安路口(信維大樓),大安區,18,信義路四段74號(前),25.03317,121.54639,YouBike2.0_Sec. 4， Xinyi Rd & Da’an Rd Intersection (Xinwei Building),Daan Dist.,No. 74， Sec. 4， Xinyi Rd.
500101137,YouBike2.0_龍門廣場,大安區,70,敦化南路一段與敦化南路一段236巷口,25.04092,121.54825,YouBike2.0_Long Men Plaza,Daan Dist.,Sec. 1， Dunhua S. Rd & Ln. 236， Sec. 1， Dunhua S. Rd Intersection.
500101138,YouBike2.0_仁愛安和路口,大安區,33,仁愛路四段258號前,25.03754,121.55285,YouBike2.0_Sec. 4， Ren'ai Rd & Sec. 1， Anhe Rd Intersection,Daan Dist.,No. 74， Sec. 4， Ren'ai Rd.
500101139,YouBike2.0_信義敦化路口,大安區,52,信義路四段155號前,25.03333,121.54977,YouBike2.0_Sec. 4， Xinyi Rd & Sec. 1， Dunhua S. Rd Intersection,Daan Dist.,No. 155， Sec. 4， Xinyi Rd
500101140,YouBike2.0_仁愛國中,大安區,25,安和路一段75號(對面),25.03706,121.55166,YouBike2.0_Ren Ai Junior High School,Daan Dist.,No. 75， Sec. 1， Anhe Rd.
500101141,YouBike2.0_捷運信義安和站(2號出口),大安區,24,信義路四段188號前,25.03304,121.55171,YouBike2.0_MRT Xinyi Anhe Sta (Exit 2),Daan Dist.,No. 188， Sec. 4， Xinyi Rd
500101142,YouBike2.0_八德市場,大安區,30,市民大道三段170號,25.04463,121.53665,YouBike2.0_Bade Traditional Market,Daan Dist.,No. 170， Sec. 3， Civic Blvd.
500101143,YouBike2.0_昌隆公園,大安區,16,市民大道三段206號西側,25.04448,121.53946,YouBike2.0_Changlong Park,Daan Dist.,No. 206， Sec. 3， Civic Blvd. (West)
500101144,YouBike2.0_捷運大安森林公園站(2號出口),大安區,69,捷運大安森林公園站(2號出口)西側,25.03332,121.53435,YouBike2.0_MRT Daan Park Sta. (Exit 2),Daan Dist.,MRT Daan Park Sta. (Exit 2) (West)
500101145,YouBike2.0_信義延吉街口,大安區,15,信義路四段353號,25.03318,121.55725,YouBike2.0_Sec. 4，Xinyi Rd & Yanji St Intersection,Daan Dist.,No. 353， Sec. 4， Xinyi Rd.
500101146,YouBike2.0_光信公園(光復南路456巷),大安區,25,延吉街249號,25.03513,121.5561,YouBike2.0_Guangxin Park (Ln. 456， Guangfu S. Rd),Daan Dist.,No. 249， Yanji St.
500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,大安區,20,光復南路290巷5號,25.0391,121.5569,YouBike2.0_Qiao An Dixia Parking (Exit 2) (Southeast),Daan Dist.,No. 5， Ln. 290， Guangfu S. Rd
500101148,YouBike2.0_建國南路一段279巷口,大安區,32,建國南路一段275號,25.03635,121.53833,YouBike2.0_Ln. 279， Sec. 1， Jianguo S. Rd Intersection,Daan Dist.,No. 275， Sec. 1， Jianguo S. Rd.
500101149,YouBike2.0_捷運忠孝新生站(6號出口),大安區,15,新生南路一段101號,25.04091,121.53295,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 6),Daan Dist.,No. 101， Sec. 1， Xinsheng S. Rd.
500101150,YouBike2.0_捷運忠孝新生站(4號出口),大安區,34,忠孝新生路口北側,25.04239,121.53324,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 4),Daan Dist.,Zhongxiao & Xinsheng S. Rd Intersection. (North)
500101151,YouBike2.0_大安高工,大安區,23,復興南路二段52號(前),25.03126,121.54339,YouBike2.0_Daan Vocational High School,Daan Dist.,No. 52， Sec. 2， Fuxing S. Rd.
500101152,YouBike2.0_捷運忠孝新生站(3號出口),大安區,23,忠孝東路三段與10巷口,25.04189,121.53376,YouBike2.0_MRT Zhongxiao Xinsheng Sta. (Exit 3),Daan Dist.,Sec. 3， Zhongxiao E. Rd & Ln. 10， Sec. 3， Zhongxiao E. Rd Intersection
500101153,YouBike2.0_瑠公公園,大安區,20,忠孝東路四段49巷4弄/大安路口,25.04201,121.54612,YouBike2.0_Liugong Park,Daan Dist.,Aly. 4， Ln. 49， Sec. 4， Zhongxiao E. Rd./Da'an Rd. Intersection
500101154,YouBike2.0_敦化市民路口,大安區,23,敦化南路1段158號(前),25.04405,121.5486,YouBike2.0_Dunhua S. Rd. & Civic Blvd. Intersection,Daan Dist.,No. 158， Sec. 1， Dunhua S. Rd.
500101155,YouBike2.0_捷運大安森林公園站(5號出口),大安區,15,捷運大安森林公園站(5號出口)東側,25.03336,121.5364,YouBike2.0_MRT Daan Park Sta. (Exit 5),Daan Dist.,MRT Daan Park Sta. (Exit 5) (East)
500101156,YouBike2.0_信義建國路口,大安區,52,建國南路二段與信義路三段口西南側,25.0328,121.53746,YouBike2.0_Xinyi Rd. & Jianguo Rd. Intersection,Daan Dist.,Sec. 2， Jianguo S Rd. & Sec. 3， Xinyi Rd. Intersection (Southwest)
500101157,YouBike2.0_東豐公園,大安區,19,東豐街24號(旁公園路側),25.03569,121.5451,YouBike2.0_Dongfeng Park,Daan Dist.,No. 24， Dongfeng St.
500101158,YouBike2.0_德安公園(四維路66巷),大安區,14,四維路66巷6號北側,25.03473,121.54767,YouBike2.0_Dean Park,Daan Dist.,No. 6， Ln. 66， Siwei Rd.
500101159,YouBike2.0_捷運忠孝復興站(5號出口),大安區,30,復興南路一段135巷口,25.04253,121.54407,YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 5),Daan Dist.,No. 3， Ln. 135， Sec. 1， Fuxing S. Rd. (Opposite)
500101160,YouBike2.0_捷運忠孝敦化站(2號出口),大安區,17,忠孝東路四段221號,25.04153,121.5524,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 2),Daan Dist.,No. 221， Sec. 4， Zhongxiao E. Rd.
500101161,YouBike2.0_捷運忠孝敦化站(7號出口),大安區,18,忠孝東路四段143號,25.04159,121.54937,YouBike2.0_MRT Zhongxiao Dunhua Sta. (Exit 7),Daan Dist.,No. 143， Sec. 4， Zhongxiao E. Rd.
500101162,YouBike2.0_忠孝東路四段223巷口(市民大道側),大安區,25,忠孝東路四段223巷77號北側,25.04427,121.55291,YouBike2.0_Ln. 223， Sec. 4， Zhongxiao E. Rd. Intersection,Daan Dist.,No. 77， Ln. 223， Sec. 4， Zhongxiao E. Rd. (North)
500101163,YouBike2.0_瑞安街208巷,大安區,15,瑞安街208巷39號對面,25.02979,121.54053,YouBike2.0_Ln. 208， Rui'an St.,Daan Dist.,No. 39， Ln. 208， Rui'an St. (Opposite)
500101165,YouBike2.0_樂利路21巷口,大安區,17,樂利路25號,25.0277,121.55132,YouBike2.0_Ln. 21， Leli Rd. Intersection,Daan Dist.,No. 25， Leli Rd.
500101166,YouBike2.0_捷運科技大樓站(台北教育大學),大安區,54,和平東路二段134號前,25.02472,121.54417,YouBike2.0_MRT Technology Building Station,Daan Dist.,No. 134， Sec. 2， Heping E. Rd.
500101167,YouBike2.0_捷運國父紀念館站(2號出口),大安區,45,忠孝東路四段/光復南路口(西南側),25.04122,121.55745,YouBike2.0_MRT S.Y.S Memorial Hall Stataion(Exit 2.),Daan Dist.,Sec. 4， Jhongsiao E. Rd. & Guangfu S. Rd. Intersection (Southwest)
500101168,YouBike2.0_仁愛醫院,大安區,36,仁愛路四段/大安路一段口(西南側),25.03756,121.54587,YouBike2.0_Taipei City Hospital Renai Branch,Daan Dist.,Sec. 4， Ren'ai Rd. & Sec. 1， Da'an Rd. Intersection (Southwest)
500101169,YouBike2.0_捷運信義安和站(4號出口),大安區,49,信義路四段252號前,25.03305,121.55378,YouBike2.0_MRT Xinyi Anhe Sta.(Exit.4),Daan Dist.,No. 252， Sec. 4， Sinyi Rd.
500101170,YouBike2.0_成功國宅,大安區,36,和平東路三段1巷/四維路198巷口(西北側),25.02681,121.54668,YouBike2.0_Chengong Public Housing,Daan Dist.,Ln. 1， Sec. 3， Heping E. Rd. & Ln. 198， Sihwei Rd. Intersection (Northwest)
500101171,YouBike2.0_仁愛延吉街口,大安區,33,仁愛路四段376號前,25.03748,121.55564,YouBike2.0_Renai & Yanji Intersection,Daan Dist.,No. 376， Sec. 4， Ren'ai Rd.
500101172,YouBike2.0_捷運信義安和站(1號出口),大安區,33,信義路四段225號前,25.03331,121.55265,YouBike2.0_MRT Xinyi Anhe Sta.(Exit.1),Daan Dist.,No. 225， Sec. 4， Sinyi Rd.
500101173,YouBike2.0_敦化南路二段103巷口,大安區,24,敦化南路二段99號前,25.0287,121.54904,YouBike2.0_Ln. 103，Sec. 2，Dunhua S. Rd.,Daan Dist.,No. 99， Sec. 2， Dunhua S. Rd.
500101174,YouBike2.0_復興南路二段128巷口,大安區,41,復興南路二段142之1號前,25.02861,121.54336,YouBike2.0_Ln. 128， Sec. 2， Fuxing S. Rd.,Daan Dist.,No. 142-1， Sec. 2， Fusing S. Rd.
500101175,YouBike2.0_和平東建國南路口,大安區,17,和平東路/建國南路口(北側),25.02575,121.5377,YouBike2.0_Heping E. Rd. & Jianguo S. Rd. Intersection,Daan Dist.,Heping E. Rd. & Jianguo S. Rd. Intersection (North)
500101176,YouBike2.0_芳蘭山莊,大安區,16,基隆路三段155巷148號,25.01223,121.54788,YouBike2.0_Fanglan,Daan Dist.,No. 148， Ln. 155， Sec. 3， Keelung Rd.
500101177,YouBike2.0_復興南路一段126巷口,大安區,15,復興南路一段126巷1號前,25.04311,121.54313,YouBike2.0_Ln. 126， Sec. 1， Fuxing S. Rd.,Daan Dist.,No. 1， Ln. 126， Sec. 1， Fuxing S. Rd.
